Date,Commodity prices – SDR
Dec-2012,100.4
Jan-2013,106.3
Feb-2013,108.7
Mar-2013,108.4
Apr-2013,107.2
May-2013,104.3
Jun-2013,98.6
Jul-2013,98.9
Aug-2013,98
Sep-2013,99
Oct-2013,97.6
Nov-2013,97.3
Dec-2013,97.9
Jan-2014,96.9
Feb-2014,95.8
Mar-2014,91.7
Apr-2014,90
May-2014,86.9
Jun-2014,84.2
Jul-2014,83
Aug-2014,82.2
Sep-2014,81.3
Oct-2014,79
Nov-2014,78.4
Dec-2014,75.6
Jan-2015,77
Feb-2015,74.1
Mar-2015,71.5
Apr-2015,67.7
May-2015,67.3
Jun-2015,67.9
Jul-2015,64.8
Aug-2015,63.7
Sep-2015,63.4
Oct-2015,62.2
Nov-2015,59.7
Dec-2015,56.9
Jan-2016,55.8
Feb-2016,57
Mar-2016,60.3
Apr-2016,61.3
May-2016,60.4
Jun-2016,60.1
Jul-2016,62.9
Aug-2016,65
Sep-2016,66.4
Oct-2016,70.5
Nov-2016,80.4
Dec-2016,84.9
Jan-2017,85.9
Feb-2017,87.6
Mar-2017,86.3
Apr-2017,82.1
May-2017,77.9
Jun-2017,75.5
Jul-2017,76.4
Aug-2017,78.6
Sep-2017,79.8
Oct-2017,77.1
Nov-2017,78.1
Dec-2017,80
Jan-2018,84.1
Feb-2018,85.9
Mar-2018,84
Apr-2018,81.8
May-2018,84
Jun-2018,84.6
Jul-2018,85.5
Aug-2018,86.6
Sep-2018,88.4
Oct-2018,90.3
Nov-2018,90.8
Dec-2018,88.8
Jan-2019,91.1
Feb-2019,93.9
Mar-2019,94.6
Apr-2019,93.1
May-2019,94.9
Jun-2019,95.7
Jul-2019,98.1
Aug-2019,94.1
Sep-2019,91.4
Oct-2019,87.7
Nov-2019,87.2
Dec-2019,86.7
Jan-2020,87.4
Feb-2020,87.5
Mar-2020,86.2
Apr-2020,83.8
May-2020,84.5
Jun-2020,83.8
Jul-2020,82.8
Aug-2020,83.5
Sep-2020,84.3
Oct-2020,85.5
Nov-2020,88.7
Dec-2020,97.6
Jan-2021,103.9
Feb-2021,106
Mar-2021,109.3
Apr-2021,112.8
May-2021,118.9
Jun-2021,126.7
Jul-2021,131.3
Aug-2021,122
Sep-2021,115
Oct-2021,121.4
Nov-2021,127.5
Dec-2021,127.7
Jan-2022,136.7
Feb-2022,144.3
Mar-2022,159.5
Apr-2022,175.1
May-2022,169.5
Jun-2022,170.9
Jul-2022,164.7
Aug-2022,158.4
Sep-2022,168
Oct-2022,163.4
Nov-2022,152.6
