Date,Inflation %,
9/1/1989,8,
12/1/1989,7.8,
3/1/1990,8.7,
6/1/1990,7.7,
9/1/1990,6.1,
12/1/1990,6.9,
3/1/1991,4.8,
6/1/1991,3.3,
9/1/1991,3.1,
12/1/1991,1.5,
3/1/1992,1.7,
6/1/1992,1.2,
9/1/1992,0.8,
12/1/1992,0.3,
3/1/1993,1.2,
6/1/1993,1.8,
9/1/1993,2.2,
12/1/1993,1.8,
3/1/1994,1.5,
6/1/1994,1.8,
9/1/1994,2,
12/1/1994,2.6,
3/1/1995,3.7,
6/1/1995,4.5,
9/1/1995,5.1,
12/1/1995,5.1,
3/1/1996,3.8,
6/1/1996,3.1,
9/1/1996,2.1,
12/1/1996,1.5,
3/1/1997,1.4,
6/1/1997,0.3,
9/1/1997,-0.4,
12/1/1997,-0.3,
3/1/1998,-0.1,
6/1/1998,0.7,
9/1/1998,1.4,
12/1/1998,1.5,
3/1/1999,1.2,
6/1/1999,1,
9/1/1999,1.8,
12/1/1999,1.9,
3/1/2000,2.8,
6/1/2000,3.1,
9/1/2000,6.1,
12/1/2000,5.8,
3/1/2022,6,
6/1/2022,6.1,
9/1/2022,2.5,
12/1/2022,3.1,
3/2/2022,3,
6/2/2022,2.8,
9/2/2022,3.2,
12/2/2022,2.9,
3/3/2022,3.3,
6/3/2022,2.6,
9/3/2022,2.6,2.8
12/3/2022,2.4,2.7
3/4/2022,2,2.6
6/4/2022,2.5,2.6
9/4/2022,2.3,2.6
12/4/2022,2.5,2.7
3/5/2022,2.4,2.7
6/5/2022,2.5,2.7
9/5/2022,3.1,2.7
12/5/2022,2.8,2.6
3/6/2022,2.9,2.8
6/6/2022,4,3
9/6/2022,4,3.1
12/6/2022,3.3,3
3/7/2022,2.5,2.7
6/7/2022,2.1,2.8
9/7/2022,1.8,2.9
12/7/2022,2.9,3.6
3/8/2022,4.3,4.2
6/8/2022,4.4,4.4
9/8/2022,5,4.8
12/8/2022,3.7,4.3
3/9/2022,2.4,4.1
6/9/2022,1.4,3.6
9/9/2022,1.2,3.1
12/9/2022,2.1,3.2
3/10/2022,2.9,3.1
6/10/2022,3.1,2.8
9/10/2022,2.9,2.6
12/10/2022,2.8,2.2
3/11/2022,3.3,2.2
6/11/2022,3.5,2.7
9/11/2022,3.4,2.5
12/11/2022,3,2.7
3/12/2022,1.6,2.3
6/12/2022,1.2,2
9/12/2022,2,2.3
12/12/2022,2.2,2.2
3/13/2022,2.5,2.3
6/13/2022,2.4,2.4
9/13/2022,2.2,2.4
12/13/2022,2.7,2.7
3/14/2022,2.9,2.7
6/14/2022,3,2.8
9/14/2022,2.3,2.4
12/14/2022,1.7,2.2
3/15/2022,1.3,2.3
6/15/2022,1.5,2.2
9/15/2022,1.5,2.1
12/15/2022,1.7,2.1
3/16/2022,1.3,1.7
6/16/2022,1,1.6
9/16/2022,1.3,1.6
12/16/2022,1.5,1.5
3/17/2022,2.1,1.7
6/17/2022,1.9,1.7
9/17/2022,1.8,1.7
12/17/2022,1.9,1.7
3/18/2022,1.9,1.7
6/18/2022,2.1,1.6
9/18/2022,1.9,1.7
12/18/2022,1.8,1.8
3/19/2022,1.3,1.6
6/19/2022,1.6,1.5
9/19/2022,1.7,1.5
12/19/2022,1.8,1.5
3/20/2022,2.2,1.7
6/20/2022,-0.3,1.2
9/20/2022,0.7,1.1
12/20/2022,0.9,1.2
3/21/2022,1.1,1.1
6/21/2022,3.8,1.6
9/21/2022,3,2.1
12/21/2022,3.5,2.6
3/22/2022,5.1,3.7
6/22/2022,6.1,4.9
9/22/2022,7.3,6.1
