Date,Value
12/1/2012,229.601
12/28/2012,229.601
1/28/2013,230.28
2/28/2013,232.166
3/28/2013,232.773
4/28/2013,232.531
5/28/2013,232.945
6/28/2013,233.504
7/28/2013,233.596
8/28/2013,233.877
9/28/2013,234.149
10/28/2013,233.546
11/28/2013,233.069
12/28/2013,233.049
1/28/2014,233.916
2/28/2014,234.781
3/28/2014,236.293
4/28/2014,237.072
5/28/2014,237.9
6/28/2014,238.343
7/28/2014,238.25
8/28/2014,237.852
9/28/2014,238.031
10/28/2014,237.433
11/28/2014,236.151
12/28/2014,234.812
1/28/2015,233.707
2/28/2015,234.722
3/28/2015,236.119
4/28/2015,236.599
5/28/2015,237.805
6/28/2015,238.638
7/28/2015,238.654
8/28/2015,238.316
9/28/2015,237.945
10/28/2015,237.838
11/28/2015,237.336
12/28/2015,236.525
1/28/2016,236.916
2/28/2016,237.111
3/28/2016,238.132
4/28/2016,239.261
5/28/2016,240.229
6/28/2016,241.018
7/28/2016,240.628
8/28/2016,240.849
9/28/2016,241.428
10/28/2016,241.729
11/28/2016,241.353
12/28/2016,241.432
1/28/2017,242.839
2/28/2017,243.603
3/28/2017,243.801
4/28/2017,244.524
5/28/2017,244.733
6/28/2017,244.955
7/28/2017,244.786
8/28/2017,245.519
9/28/2017,246.819
10/28/2017,246.663
11/28/2017,246.669
12/28/2017,246.524
1/28/2018,247.867
2/28/2018,248.991
3/28/2018,249.554
4/28/2018,250.546
5/28/2018,251.588
6/28/2018,251.989
7/28/2018,252.006
8/28/2018,252.146
9/28/2018,252.439
10/28/2018,252.885
11/28/2018,252.038
12/28/2018,251.233
1/28/2019,251.712
2/28/2019,252.776
3/28/2019,254.202
4/28/2019,255.548
5/28/2019,256.092
6/28/2019,256.143
7/28/2019,256.571
8/28/2019,256.558
9/28/2019,256.759
10/28/2019,257.346
11/28/2019,257.208
12/28/2019,256.974
1/28/2020,257.971
2/28/2020,258.678
3/28/2020,258.115
4/28/2020,256.389
5/28/2020,256.394
6/28/2020,257.797
7/28/2020,259.101
8/28/2020,259.918
9/28/2020,260.28
10/28/2020,260.388
11/28/2020,260.229
12/28/2020,260.474
1/28/2021,261.582
2/28/2021,263.014
3/28/2021,264.877
4/28/2021,267.054
5/28/2021,269.195
6/28/2021,271.696
7/28/2021,273.003
8/28/2021,273.567
9/28/2021,274.31
10/28/2021,276.589
11/28/2021,277.948
12/28/2021,278.802
1/28/2022,281.148
2/28/2022,283.716
3/28/2022,287.504
4/28/2022,289.109
5/28/2022,292.296
6/28/2022,296.311
7/28/2022,296.276
8/28/2022,296.171
9/28/2022,296.808
10/28/2022,298.012
11/28/2022,297.711
11/30/2022,297.711
